Question,A,B,C,D,True Answer,True_Option,MC,MC_R
6 + 8 等于多少?,15,14,11,19,14,B,"请选择一个选项6 + 8 等于多少?: A 15.0 , B 14.0 , C 11.0 , D 19.0。只能选择一个选项，禁止解释。","请选择一个选项6 + 8 等于多少?: B 14.0 , A 15.0 , C 11.0 , D 19.0。只能选择一个选项，禁止解释。"
1 + 1 等于多少?,2,0,7,3,2,A,"请选择一个选项1 + 1 等于多少?: A 2.0 , B 0.0 , C 7.0 , D 3.0。只能选择一个选项，禁止解释。","请选择一个选项1 + 1 等于多少?: B 0.0 , A 2.0 , C 7.0 , D 3.0。只能选择一个选项，禁止解释。"
8 * 5 等于多少?,43,40,45,39,40,B,"请选择一个选项8 * 5 等于多少?: A 43.0 , B 40.0 , C 45.0 , D 39.0。只能选择一个选项，禁止解释。","请选择一个选项8 * 5 等于多少?: B 40.0 , A 43.0 , C 45.0 , D 39.0。只能选择一个选项，禁止解释。"
3 * 2 等于多少?,7,6,4,10,6,B,"请选择一个选项3 * 2 等于多少?: A 7.0 , B 6.0 , C 4.0 , D 10.0。只能选择一个选项，禁止解释。","请选择一个选项3 * 2 等于多少?: B 6.0 , A 7.0 , C 4.0 , D 10.0。只能选择一个选项，禁止解释。"
4 - 9 等于多少?,-3,-8,1,-5,-5,D,"请选择一个选项4 - 9 等于多少?: A -3.0 , B -8.0 , C 1.0 , D -5.0。只能选择一个选项，禁止解释。","请选择一个选项4 - 9 等于多少?: B -8.0 , A -3.0 , C 1.0 , D -5.0。只能选择一个选项，禁止解释。"
7 / 7 等于多少?,1,4,5,-2,1,A,"请选择一个选项7 / 7 等于多少?: A 1.0 , B 4.0 , C 5.0 , D -2.0。只能选择一个选项，禁止解释。","请选择一个选项7 / 7 等于多少?: B 4.0 , A 1.0 , C 5.0 , D -2.0。只能选择一个选项，禁止解释。"
8 * 7 等于多少?,57,56,60,55,56,B,"请选择一个选项8 * 7 等于多少?: A 57.0 , B 56.0 , C 60.0 , D 55.0。只能选择一个选项，禁止解释。","请选择一个选项8 * 7 等于多少?: B 56.0 , A 57.0 , C 60.0 , D 55.0。只能选择一个选项，禁止解释。"
6 + 8 等于多少?,16,14,18,12,14,B,"请选择一个选项6 + 8 等于多少?: A 16.0 , B 14.0 , C 18.0 , D 12.0。只能选择一个选项，禁止解释。","请选择一个选项6 + 8 等于多少?: B 14.0 , A 16.0 , C 18.0 , D 12.0。只能选择一个选项，禁止解释。"
7 * 1 等于多少?,7,8,11,6,7,A,"请选择一个选项7 * 1 等于多少?: A 7.0 , B 8.0 , C 11.0 , D 6.0。只能选择一个选项，禁止解释。","请选择一个选项7 * 1 等于多少?: B 8.0 , A 7.0 , C 11.0 , D 6.0。只能选择一个选项，禁止解释。"
6 - 8 等于多少?,0,-4,-2,3,-2,C,"请选择一个选项6 - 8 等于多少?: A 0.0 , B -4.0 , C -2.0 , D 3.0。只能选择一个选项，禁止解释。","请选择一个选项6 - 8 等于多少?: B -4.0 , A 0.0 , C -2.0 , D 3.0。只能选择一个选项，禁止解释。"
54 / 9 等于多少?,11,5,8,6,6,D,"请选择一个选项54 / 9 等于多少?: A 11.0 , B 5.0 , C 8.0 , D 6.0。只能选择一个选项，禁止解释。","请选择一个选项54 / 9 等于多少?: B 5.0 , A 11.0 , C 8.0 , D 6.0。只能选择一个选项，禁止解释。"
1 + 7 等于多少?,12,8,6,10,8,B,"请选择一个选项1 + 7 等于多少?: A 12.0 , B 8.0 , C 6.0 , D 10.0。只能选择一个选项，禁止解释。","请选择一个选项1 + 7 等于多少?: B 8.0 , A 12.0 , C 6.0 , D 10.0。只能选择一个选项，禁止解释。"
1 - 4 等于多少?,1,-3,-1,-5,-3,B,"请选择一个选项1 - 4 等于多少?: A 1.0 , B -3.0 , C -1.0 , D -5.0。只能选择一个选项，禁止解释。","请选择一个选项1 - 4 等于多少?: B -3.0 , A 1.0 , C -1.0 , D -5.0。只能选择一个选项，禁止解释。"
4 - 7 等于多少?,-3,0,-4,1,-3,A,"请选择一个选项4 - 7 等于多少?: A -3.0 , B 0.0 , C -4.0 , D 1.0。只能选择一个选项，禁止解释。","请选择一个选项4 - 7 等于多少?: B 0.0 , A -3.0 , C -4.0 , D 1.0。只能选择一个选项，禁止解释。"
8 + 1 等于多少?,8,9,12,14,9,B,"请选择一个选项8 + 1 等于多少?: A 8.0 , B 9.0 , C 12.0 , D 14.0。只能选择一个选项，禁止解释。","请选择一个选项8 + 1 等于多少?: B 9.0 , A 8.0 , C 12.0 , D 14.0。只能选择一个选项，禁止解释。"
5 - 1 等于多少?,7,8,4,1,4,C,"请选择一个选项5 - 1 等于多少?: A 7.0 , B 8.0 , C 4.0 , D 1.0。只能选择一个选项，禁止解释。","请选择一个选项5 - 1 等于多少?: B 8.0 , A 7.0 , C 4.0 , D 1.0。只能选择一个选项，禁止解释。"
1 + 9 等于多少?,12,14,10,7,10,C,"请选择一个选项1 + 9 等于多少?: A 12.0 , B 14.0 , C 10.0 , D 7.0。只能选择一个选项，禁止解释。","请选择一个选项1 + 9 等于多少?: B 14.0 , A 12.0 , C 10.0 , D 7.0。只能选择一个选项，禁止解释。"
3 + 1 等于多少?,5,4,8,1,4,B,"请选择一个选项3 + 1 等于多少?: A 5.0 , B 4.0 , C 8.0 , D 1.0。只能选择一个选项，禁止解释。","请选择一个选项3 + 1 等于多少?: B 4.0 , A 5.0 , C 8.0 , D 1.0。只能选择一个选项，禁止解释。"
4 * 2 等于多少?,8,10,12,6,8,A,"请选择一个选项4 * 2 等于多少?: A 8.0 , B 10.0 , C 12.0 , D 6.0。只能选择一个选项，禁止解释。","请选择一个选项4 * 2 等于多少?: B 10.0 , A 8.0 , C 12.0 , D 6.0。只能选择一个选项，禁止解释。"
7 + 4 等于多少?,11,16,8,13,11,A,"请选择一个选项7 + 4 等于多少?: A 11.0 , B 16.0 , C 8.0 , D 13.0。只能选择一个选项，禁止解释。","请选择一个选项7 + 4 等于多少?: B 16.0 , A 11.0 , C 8.0 , D 13.0。只能选择一个选项，禁止解释。"
4 * 6 等于多少?,24,26,22,29,24,A,"请选择一个选项4 * 6 等于多少?: A 24.0 , B 26.0 , C 22.0 , D 29.0。只能选择一个选项，禁止解释。","请选择一个选项4 * 6 等于多少?: B 26.0 , A 24.0 , C 22.0 , D 29.0。只能选择一个选项，禁止解释。"
7 * 7 等于多少?,54,48,52,49,49,D,"请选择一个选项7 * 7 等于多少?: A 54.0 , B 48.0 , C 52.0 , D 49.0。只能选择一个选项，禁止解释。","请选择一个选项7 * 7 等于多少?: B 48.0 , A 54.0 , C 52.0 , D 49.0。只能选择一个选项，禁止解释。"
9 * 10 等于多少?,92,87,90,96,90,C,"请选择一个选项9 * 10 等于多少?: A 92.0 , B 87.0 , C 90.0 , D 96.0。只能选择一个选项，禁止解释。","请选择一个选项9 * 10 等于多少?: B 87.0 , A 92.0 , C 90.0 , D 96.0。只能选择一个选项，禁止解释。"
9 - 1 等于多少?,11,6,8,13,8,C,"请选择一个选项9 - 1 等于多少?: A 11.0 , B 6.0 , C 8.0 , D 13.0。只能选择一个选项，禁止解释。","请选择一个选项9 - 1 等于多少?: B 6.0 , A 11.0 , C 8.0 , D 13.0。只能选择一个选项，禁止解释。"
